Agency Name,Cost Pool,Fiscal Month,Cost,Fiscal Month (date),Fiscal & Calendar Month,Fiscal Year
Department of Fish and Wildlife,Software,Jul-2024,12392,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Dept of Financial Institutions,Software,Oct-2024,12315,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Commerce,Outside Services,Oct-2024,12272,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
State Board of Accountancy,External Labor,Mar-2025,12240,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of the Governor,Telecom,Mar-2025,12224,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of State Auditor,Telecom,Feb-2025,12204,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
State Board of Accountancy,Outside Services,Nov-2024,12201,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Natural Resources,External Labor,Feb-2025,12174,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Insurance Commissioner,Hardware,Feb-2025,12151,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Dept of Services for the Blind,Telecom,Nov-2024,12127,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Western Washington University,External Labor,Aug-2024,12107,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Dept of Financial Institutions,Hardware,Dec-2024,12059,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Dept of Services for the Blind,Telecom,Dec-2024,12058,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Washington State University,Internal Services,Jul-2024,12057,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Dept of Services for the Blind,External Labor,Dec-2024,12024,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Washington Technology Solutions,Internal Services,Aug-2024,11977,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Commerce,Telecom,Jul-2024,11899,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of the Governor,Telecom,Jul-2024,11889,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Deaf and Hard of Hearing Youth,Internal Services,Sep-2024,11868,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
State Lottery Commission,Telecom,Aug-2024,11867,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Office of State Auditor,Software,Nov-2024,11865,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Deaf and Hard of Hearing Youth,Internal Services,Feb-2025,11839,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Deaf and Hard of Hearing Youth,Internal Services,Nov-2024,11834,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Deaf and Hard of Hearing Youth,Internal Services,Dec-2024,11827,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Deaf and Hard of Hearing Youth,Internal Services,Mar-2025,11825,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Commerce,Telecom,Aug-2024,11772,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Eastern Washington University,Outside Services,Mar-2025,11761,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Western Washington University,Other,Dec-2024,11738,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Washington State Historical Society,Internal Services,Aug-2024,11705,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Retirement Systems,Software,Oct-2024,11691,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Dept of Services for the Blind,Telecom,Jan-2025,11681,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Revenue,Other,Aug-2024,11675,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
State Investment Board,Telecom,Jan-2025,11672,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Dept of Services for the Blind,Telecom,Feb-2025,11669,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Transportation Improvement Board,Internal Services,Jan-2025,11628,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Commerce,Telecom,Nov-2024,11607,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Public Defense,Internal Services,Feb-2025,11532,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Agriculture,External Labor,Feb-2025,11526,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Dept of Services for the Blind,Outside Services,Aug-2024,11521,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
State Investment Board,Telecom,Nov-2024,11511,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Utilities and Transportation Comm,Outside Services,Jan-2025,11500,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Board of Indust Insurance Appeals,Software,Sep-2024,11492,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Legislative Support Services,External Labor,Aug-2024,11479,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Transportation Improvement Board,Internal Services,Oct-2024,11470,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
State Investment Board,Telecom,Aug-2024,11467,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
State School for the Blind,Internal Services,Dec-2024,11461,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Agriculture,Other,Jan-2025,11447,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
State School for the Blind,Hardware,Jul-2024,11438,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
State Lottery Commission,Software,Oct-2024,11425,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Supt of Public Instruction,Internal Services,Feb-2025,11412,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Human Rights Commission,External Labor,Jul-2024,11385,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Student Achievement Council,Outside Services,Jan-2025,11365,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Comm on Asian-Pacific Amer Affairs,Internal Services,Aug-2024,11354,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Veterans Affairs,Software,Sep-2024,11318,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Financial Management,Software,Jan-2025,11292,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Public Defense,Internal Services,Mar-2025,11272,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Puget Sound Partnership,Hardware,Nov-2024,11259,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington State Historical Society,Internal Services,Dec-2024,11256,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Washington State Historical Society,Internal Services,Mar-2025,11249,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Washington State Historical Society,Internal Services,Feb-2025,11246,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Legislative Support Services,External Labor,Jul-2024,11239,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
WA Pollution Liab Insurance Program,Software,Sep-2024,11206,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Administrative Hearings,Software,Aug-2024,11186,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Fish and Wildlife,Other,Sep-2024,11177,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Governor's Office of Indian Affairs,Internal Services,Aug-2024,11154,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Joint Legislative Systems Committee,Software,Sep-2024,11152,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Labor and Industries,Other,Jul-2024,11130,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Utilities and Transportation Comm,Outside Services,Nov-2024,11045,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
State School for the Blind,Internal Services,Mar-2025,11031,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Deaf and Hard of Hearing Youth,Telecom,Aug-2024,11020,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Bd of Reg-Prof Engineers/Land Surveyors,Internal Services,Jan-2025,10930,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Licensing,Internal Services,Feb-2025,10922,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Puget Sound Partnership,Hardware,Jul-2024,10919,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Bd of Reg-Prof Engineers/Land Surveyors,Internal Services,Oct-2024,10919,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Legislative Support Services,External Labor,Jan-2025,10910,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Legislative Support Services,External Labor,Feb-2025,10910,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Legislative Support Services,External Labor,Mar-2025,10910,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Court of Appeals,Internal Services,Mar-2025,10835,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Agriculture,Telecom,Oct-2024,10817,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Supreme Court,Hardware,Mar-2025,10770,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of Insurance Commissioner,Software,Feb-2025,10767,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Utilities and Transportation Comm,Software,Feb-2025,10760,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Eastern Washington University,Facilities & Power,Aug-2024,10671,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Licensing,External Labor,Jan-2025,10620,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Deaf and Hard of Hearing Youth,Software,Feb-2025,10615,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Dept of Services for the Blind,Outside Services,Dec-2024,10608,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Puget Sound Partnership,Other,Oct-2024,10604,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Independent Investigations,Outside Services,Oct-2024,10598,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
State Lottery Commission,Hardware,Oct-2024,10589,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Statute Law Committee,External Labor,Aug-2024,10572,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Deaf and Hard of Hearing Youth,Telecom,Sep-2024,10494,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Administrative Hearings,Software,Oct-2024,10493,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Independent Investigations,Other,Oct-2024,10475,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Student Achievement Council,Hardware,Dec-2024,10444,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Public Disclosure Commission,Outside Services,Mar-2025,10428,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Utilities and Transportation Comm,Telecom,Jan-2025,10425,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Eastern Washington University,Outside Services,Nov-2024,10401,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
WA ST Comm African-American Affairs,Internal Services,Aug-2024,10386,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Utilities and Transportation Comm,Hardware,Nov-2024,10374,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Administrative Hearings,Software,Nov-2024,10361,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Dept of Financial Institutions,Telecom,Jan-2025,10339,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of the Secretary of State,Other,Sep-2024,10335,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Independent Investigations,Other,Dec-2024,10321,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Natural Resources,Other,Jul-2024,10277,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Dept of Financial Institutions,Telecom,Nov-2024,10257,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Statute Law Committee,Software,Nov-2024,10238,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Independent Investigations,Hardware,Sep-2024,10234,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
State Board of Accountancy,Internal Labor,Jan-2025,10221,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
State Board of Accountancy,Internal Labor,Feb-2025,10221,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
State Board of Accountancy,Internal Labor,Mar-2025,10221,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
State Board of Accountancy,Internal Labor,Dec-2024,10218,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
State Board of Accountancy,Internal Labor,Sep-2024,10214,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
State Board of Accountancy,Internal Labor,Nov-2024,10214,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
State Board of Accountancy,Internal Labor,Oct-2024,10214,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
State Board of Accountancy,Internal Labor,Jul-2024,10208,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
State Board of Accountancy,Internal Labor,Aug-2024,10208,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Office of State Actuary,Internal Services,Jul-2024,10203,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of State Actuary,Internal Services,Oct-2024,10202,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of State Actuary,Internal Services,Jan-2025,10202,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Utilities and Transportation Comm,Telecom,Mar-2025,10168,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Natural Resources,Other,Nov-2024,10127,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Military Department,Other,Dec-2024,10080,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Office of State Auditor,Telecom,Nov-2024,10060,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Off of Minority & Women's Business,Software,Dec-2024,10013,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Supt of Public Instruction,Software,Aug-2024,10006,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
WA Pollution Liab Insurance Program,Outside Services,Feb-2025,10006,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Licensing,Other,Aug-2024,9970,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Public Employment Relations Comm,External Labor,Oct-2024,9967,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
State School for the Blind,Telecom,Sep-2024,9952,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Revenue,Hardware,Sep-2024,9924,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Recreation and Conservation Funding Boar,Outside Services,Feb-2025,9911,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Agriculture,Other,Sep-2024,9855,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Utilities and Transportation Comm,Telecom,Aug-2024,9811,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Utilities and Transportation Comm,Telecom,Sep-2024,9795,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
State Conservation Commission,Outside Services,Sep-2024,9766,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Dept of Services for the Blind,External Labor,Nov-2024,9744,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
County Road Administration Board,Internal Services,Dec-2024,9726,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Natural Resources,External Labor,Mar-2025,9723,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
WA Pollution Liab Insurance Program,Hardware,Jul-2024,9657,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
East Wash State Historical Society,Software,Nov-2024,9613,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Military Department,Other,Feb-2025,9602,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington State Patrol,Other,Oct-2024,9601,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Board of Indust Insurance Appeals,External Labor,Jul-2024,9600,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of Public Defense,Internal Services,Dec-2024,9593,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Human Rights Commission,Other,Sep-2024,9584,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Administrative Office of the Courts,Telecom,Jul-2024,9562,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Washington State Gambling Comm,Telecom,Sep-2024,9547,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
County Road Administration Board,Internal Services,Sep-2024,9525,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Recreation and Conservation Funding Boar,Outside Services,Jan-2025,9520,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
The Evergreen State College,Internal Services,Sep-2024,9505,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Public Defense,Outside Services,Feb-2025,9487,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
"Department of Children, Youth, and Famil",Hardware,Jul-2024,9470,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
State Investment Board,Telecom,Feb-2025,9449,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Dept of Financial Institutions,Telecom,Jul-2024,9418,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
County Road Administration Board,Internal Services,Feb-2025,9355,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
State Lottery Commission,Software,Mar-2025,9352,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
WA Pollution Liab Insurance Program,Hardware,Aug-2024,9316,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Western Washington University,Other,Aug-2024,9313,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
State Parks and Recreation Comm,Other,Sep-2024,9309,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Deaf and Hard of Hearing Youth,Telecom,Jan-2025,9308,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Corrections,Other,Mar-2025,9282,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Recreation and Conservation Funding Boar,Outside Services,Mar-2025,9275,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of State Auditor,Telecom,Mar-2025,9272,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
State Investment Board,Telecom,Mar-2025,9244,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
State Investment Board,Telecom,Sep-2024,9201,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Recreation and Conservation Funding Boar,Internal Services,Oct-2024,9183,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Military Department,Other,Nov-2024,9172,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Utilities and Transportation Comm,Outside Services,Mar-2025,9150,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Recreation and Conservation Funding Boar,Outside Services,Dec-2024,9138,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Washington State Gambling Comm,Telecom,Dec-2024,9110,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
State Parks and Recreation Comm,Software,Dec-2024,9066,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
County Road Administration Board,Internal Services,Mar-2025,9022,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of State Auditor,Telecom,Dec-2024,9018,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
LEG Evaluation & Account Prog Comm,External Labor,Oct-2024,9012,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Recreation and Conservation Funding Boar,Outside Services,Aug-2024,8973,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Military Department,Other,Sep-2024,8953,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington State Gambling Comm,Telecom,Oct-2024,8951,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of State Auditor,Telecom,Oct-2024,8948,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
State Lottery Commission,Hardware,Sep-2024,8926,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Administrative Hearings,Software,Jul-2024,8925,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Student Achievement Council,Hardware,Jul-2024,8898,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
State Parks and Recreation Comm,External Labor,Sep-2024,8891,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of State Treasurer,Hardware,Oct-2024,8871,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
County Road Administration Board,Internal Services,Nov-2024,8853,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington State Historical Society,Software,Oct-2024,8830,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of State Auditor,Telecom,Sep-2024,8792,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
State School for the Blind,Other,Dec-2024,8768,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Dept of Financial Institutions,Hardware,Jan-2025,8764,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Licensing,Other,Nov-2024,8751,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Transportation Improvement Board,Software,Aug-2024,8750,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Energy Facility Site Evaluation Council,Software,Jul-2024,8741,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Puget Sound Partnership,Software,Aug-2024,8731,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Revenue,External Labor,Aug-2024,8730,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Revenue,External Labor,Sep-2024,8730,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Revenue,External Labor,Oct-2024,8730,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Revenue,External Labor,Nov-2024,8730,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Licensing,Other,Mar-2025,8728,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of the Secretary of State,Software,Aug-2024,8725,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
State Parks and Recreation Comm,Software,Jul-2024,8710,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Human Rights Commission,External Labor,Mar-2025,8708,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Military Department,External Labor,Mar-2025,8654,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Military Department,Software,Aug-2024,8644,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Deaf and Hard of Hearing Youth,Telecom,Feb-2025,8602,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of State Auditor,Telecom,Aug-2024,8586,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Retirement Systems,Facilities & Power,Aug-2024,8563,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Public Disclosure Commission,Software,Aug-2024,8526,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Office of Independent Investigations,Software,Aug-2024,8501,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
WA State Comm on Hispanic Affairs,Internal Services,Oct-2024,8445,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
WA State Comm on Hispanic Affairs,Internal Services,Jan-2025,8443,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Board of Indust Insurance Appeals,External Labor,Aug-2024,8439,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Supreme Court,Internal Services,Feb-2025,8424,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
State School for the Blind,Software,Dec-2024,8344,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Puget Sound Partnership,Software,Jul-2024,8292,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Joint LEG Audit & Review Committee,Software,Dec-2024,8263,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Liquor and Cannabis Board,Other,Jul-2024,8262,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Eastern Washington University,Internal Services,Sep-2024,8250,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Eastern Washington University,Internal Services,Oct-2024,8250,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Eastern Washington University,Internal Services,Dec-2024,8250,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Eastern Washington University,Internal Services,Feb-2025,8250,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Eastern Washington University,Internal Services,Mar-2025,8250,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Environmental and Land Use Hearings Offi,Software,Mar-2025,8230,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Puget Sound Partnership,Hardware,Feb-2025,8195,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Liquor and Cannabis Board,Other,Aug-2024,8193,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Board of Indust Insurance Appeals,Software,Mar-2025,8163,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Revenue,Telecom,Jul-2024,8136,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Supreme Court,Internal Services,Nov-2024,8128,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Retirement Systems,Software,Mar-2025,8122,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Environmental and Land Use Hearings Offi,Software,Oct-2024,8115,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Retirement Systems,Software,Feb-2025,8114,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Legislative Support Services,Hardware,Dec-2024,8078,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
The Evergreen State College,Internal Services,Feb-2025,8068,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
WA Pollution Liab Insurance Program,Software,Jan-2025,8063,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Board of Indust Insurance Appeals,Hardware,Mar-2025,8062,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
LEG Evaluation & Account Prog Comm,External Labor,Sep-2024,8046,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
State Board of Accountancy,Outside Services,Jul-2024,8016,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Military Department,External Labor,Feb-2025,7996,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of State Treasurer,Software,Oct-2024,7995,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
